ID,location_name,lat,long
2285251,"Badini,La Leraba Occidentale,Leraba,Leraba Occidentale,Leraba Orientale,Léraba,Léraba Occidentale,Léraba Orientale",10.28333,-5.11667
2287216,"Keleouoro,Keleworo,Kéléouoro,Kéléworo",9.80748,-4.05023
2294066,"Nakambe,Nakambé,Nakanbe,Nakanbé,Volta Blanche,White Volta",8.70194,-0.99056
2298457,"Issana Bouga,Lanyung,Lanyunga",10.91667,-1.18333
2353158,,12.36667,-0.45
2353159,,12.38333,-2.73333
2353160,,12.78333,-0.41667
2353161,,13.14908,-1.28197
2353162,,12.95741,-1.28745
2353163,Zourma,11.39418,-0.79273
2353164,,11.65,-1.28333
2353165,Zoura,13.28261,-1.47644
2353166,,13.21895,-1.97142
2353167,"Noungou,Zoungou",12.14441,-0.53169
2353168,,13.28675,-1.14636
2353169,"Province du Zoundweogo,Province du Zoundwéogo,Zoundweogo,Zoundweogo Province,Zoundwéogo",11.58333,-1.0
2353170,"Zoundouri,Zoundri",12.42718,-1.90874
2353171,,12.73972,-1.51522
2353172,,14.0603,-0.9666
2353173,"Zoumbeko,Zoumbéko",11.1,-0.11667
2353174,"Djimbara,Jimbara,Zoumbara",12.88333,-3.15
2353175,,13.33543,-2.05511
2353176,Zouma,12.66667,-2.91667
2353177,,12.59733,-1.60221
2353178,,12.76667,-3.98333
2353179,,12.85,-0.98333
2353180,,12.11667,-1.98333
2353181,,12.03333,-0.43333
2353182,,12.25,-2.46667
2353183,,13.47294,-1.82887
2353184,,13.43528,-0.61691
2353185,,13.0482,-2.2187
2353186,"Zongouma,Zougouma",13.91409,-2.24711
2353187,"Zougouma,Zougouna",13.56335,-2.51996
2353188,,12.8,-2.63333
2353189,"Roudounga,Zoudounga",13.76241,-2.34135
2353190,,13.315,-2.13058
2353191,,12.25,-0.28333
2353192,,11.1,-2.05
2353193,,13.14888,-1.16584
2353194,,11.3,-3.95
2353195,"Zergongo,Zorgongo",12.26667,-0.8
2353196,,13.06589,-0.66919
2353197,"Zorgho,Zorgo,Zorogo",12.24922,-0.61527
2353198,,11.7,-1.33333
2353199,,13.02002,-0.66817
2353200,"Zore,Zorre",12.28333,-0.45
2353201,,13.5327,-0.97824
2353202,,12.85,-0.58333
2353203,,10.16785,-2.89802
2353204,,13.41516,-1.25175
2353205,"Zonse,Zonsé",11.37,-0.615
2353206,,10.41667,-3.56667
2353207,,14.60803,0.04339
2353208,,12.98639,-0.9914
2353209,,12.25,-0.78333
2353210,,14.46808,-0.11281
2353211,,13.79124,0.54774
2353212,,12.21667,-0.63333
2353213,,13.4246,-1.22507
2353214,,13.22745,-2.37596
2353215,,12.34595,-1.59856
2353216,"Bonadougou,Zonesso",11.16497,-4.17687
2353217,,11.21667,-2.83333
2353218,"Zonakui,Zonankui",12.68333,-3.58333
2353219,Zon,13.72901,-1.61531
2353220,,11.28333,-1.4
2353221,"Zanouna,Zomouna",11.2,-2.46667
2353222,,13.25112,-0.45782
2353223,,12.61667,-0.38333
2353224,"Dionkalga,Zomkalga",13.45749,-1.88202
2353225,Zomkalga,13.18893,-1.48445
2353226,"Zom,Zome,Zomé",13.83017,-2.40276
2353227,"Zolo,Zoulo",12.8,-2.56667
2353228,,10.81667,-3.05
2353229,"Diogore,Diogoré,Zogore,Zogoré",13.40169,-2.59244
2353230,,12.86667,-2.1
2353231,"Zoetgomde,Zoétgomdé",12.53333,-2.2
2353232,,10.98333,-3.03333
2353233,,12.76667,-0.83333
2353234,Zoaga,11.03806,-0.59028
2353235,,12.8,-2.26667
2353236,,12.96667,-2.93333
2353237,,13.07456,-2.39649
2353238,Zitenga,12.74846,-1.30989
2353239,,12.66667,-0.38333
2353240,,13.27328,-2.11149
2353241,,12.77965,-1.73737
2353242,,11.06667,-0.48333
2353243,"Ziego,Ziou,Ziégo",11.03611,-0.77917
2353244,,11.91667,-1.7
2353245,,12.25,-0.6
2353246,,11.31667,-3.2
2353247,,11.83333,-0.76667
2353248,,11.86667,-2.28333
2353249,,11.98333,-3.21667
2353250,,10.13333,-2.91667
2353251,,10.13333,-2.91667
2353252,,12.11667,-2.11667
2353253,,13.40905,-1.71803
2353254,,13.0,-2.28333
2353255,,13.76769,-0.74324
2353256,,13.86623,-0.73761
2353257,"Zimare,Zimaré,Zinarie,Zinarié,Ziniare,Ziniaré",12.58186,-1.2971
2353258,,11.90347,-4.96788
2353259,,12.18333,-2.1
2353260,,11.91667,-1.31667
2353261,,9.96667,-2.8
